checkpoint_id	marker_id	sensor_label	controller_epoch_ms	controller_wall	capture_file	byte_offset	line_count	description
sync_post	sync_post.p2	esp32-c5-b	1777637290621	2026-05-01 15:08:10 EEST	serial/esp32_c5_b_guided_session.log	28364888	326521	controller-side end-of-session alignment checkpoint
sync_post	sync_post.p2	esp32-s3-c	1777637290621	2026-05-01 15:08:10 EEST	serial/esp32_s3_c_guided_session.log	22344096	287224	controller-side end-of-session alignment checkpoint
sync_post	sync_post.p3	esp32-c5-a	1777637290932	2026-05-01 15:08:10 EEST	serial/esp32_guided_session.log	28684941	327740	controller-side end-of-session alignment checkpoint
sync_post	sync_post.p3	esp32-c5-b	1777637290932	2026-05-01 15:08:10 EEST	serial/esp32_c5_b_guided_session.log	28370251	326591	controller-side end-of-session alignment checkpoint
sync_post	sync_post.p3	esp32-s3-c	1777637290932	2026-05-01 15:08:10 EEST	serial/esp32_s3_c_guided_session.log	22348999	287289	controller-side end-of-session alignment checkpoint
sync_post	sync_post.p4	esp32-c5-a	1777637291258	2026-05-01 15:08:11 EEST	serial/esp32_guided_session.log	28692059	327814	controller-side end-of-session alignment checkpoint
sync_post	sync_post.p4	esp32-c5-b	1777637291258	2026-05-01 15:08:11 EEST	serial/esp32_c5_b_guided_session.log	28377068	326667	controller-side end-of-session alignment checkpoint
sync_post	sync_post.p4	esp32-s3-c	1777637291258	2026-05-01 15:08:11 EEST	serial/esp32_s3_c_guided_session.log	22353957	287354	controller-side end-of-session alignment checkpoint
sync_post	sync_post.p5	esp32-c5-a	1777637291582	2026-05-01 15:08:11 EEST	serial/esp32_guided_session.log	28698243	327887	controller-side end-of-session alignment checkpoint
sync_post	sync_post.p5	esp32-c5-b	1777637291582	2026-05-01 15:08:11 EEST	serial/esp32_c5_b_guided_session.log	28382067	326735	controller-side end-of-session alignment checkpoint
sync_post	sync_post.p5	esp32-s3-c	1777637291582	2026-05-01 15:08:11 EEST	serial/esp32_s3_c_guided_session.log	22358916	287418	controller-side end-of-session alignment checkpoint
